release_date,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre
2013,190.0M,202.7M,531.9M,27.7M,Action
2013,200.0M,268.5M,743.5M,40.3M,Adventure
2013,150.0M,73.1M,205.4M,6.6M,Thriller/Suspense
2013,225.0M,89.3M,260.0M,12.1M,Western
2013,190.0M,101.8M,411.0M,30.1M,Action
2013,150.0M,206.4M,644.6M,37.3M,Action
2013,150.0M,401.0M,"1,261.8M",62.6M,Musical
2013,175.0M,38.4M,151.7M,125.5M,Action
2013,250.0M,258.2M,959.4M,17.5M,Adventure
2014,145.0M,111.5M,269.8M,58.1M,Adventure
2014,170.0M,259.7M,714.4M,54.7M,Action
2014,200.0M,202.9M,709.0M,70.5M,Action
2014,160.0M,200.7M,529.1M,40.5M,Action
2014,200.0M,233.9M,747.9M,9.6M,Action
2014,180.0M,241.4M,758.5M,36.9M,Adventure
2014,178.0M,100.2M,367.0M,35.1M,Action
2014,145.0M,177.0M,614.6M,16.5M,Adventure
2014,210.0M,245.4M,"1,104.1M",22.2M,Action
2014,170.0M,208.5M,710.6M,47.7M,Adventure
2014,170.0M,333.7M,770.9M,59.3M,Action
2014,165.0M,222.5M,648.4M,42.9M,Adventure
2014,165.0M,188.0M,649.1M,11.0M,Adventure
2014,250.0M,255.1M,940.4M,100.0M,Adventure
2015,179.0M,47.5M,182.0M,31.5M,Action
2015,190.0M,353.0M,"1,514.6M",147.2M,Action
2015,365.0M,459.0M,"1,395.3M",191.3M,Action
2015,150.0M,153.6M,367.5M,21.4M,Action
2015,170.0M,93.4M,206.6M,12.8M,Adventure
2015,215.0M,652.3M,"1,670.0M",208.8M,Action
2015,175.0M,356.5M,853.0M,74.4M,Adventure
2015,155.0M,89.8M,432.2M,0.8M,Action
2015,150.0M,195.0M,688.9M,54.4M,Action
2015,150.0M,35.1M,151.5M,26.6M,Adventure
2015,300.0M,200.1M,879.5M,66.1M,Action
2015,160.0M,281.7M,649.0M,25.7M,Thriller/Suspense
2015,187.5M,123.1M,333.8M,50.8M,Adventure
2015,306.0M,936.7M,"2,064.6M",248.0M,Adventure
2016,150.0M,248.8M,631.6M,47.5M,Musical
2016,150.0M,341.3M,"1,004.6M",151.1M,Adventure
2016,263.0M,330.4M,872.4M,30.0M,Action
2016,175.0M,364.0M,953.6M,50.8M,Adventure
2016,250.0M,408.1M,"1,151.9M",179.1M,Action
2016,178.0M,155.4M,542.5M,28.5M,Action
2016,170.0M,77.0M,276.9M,25.8M,Adventure
2016,160.0M,47.4M,438.9M,9.5M,Action
2016,200.0M,486.3M,"1,025.0M",135.1M,Adventure
2016,165.0M,103.1M,384.2M,35.7M,Action
2016,180.0M,126.6M,348.9M,69.3M,Adventure
2016,144.0M,128.4M,229.0M,18.7M,Comedy
2016,185.0M,158.8M,335.7M,31.2M,Adventure
2016,175.0M,325.1M,745.7M,55.1M,Action
2016,156.0M,61.4M,122.4M,14.5M,Thriller/Suspense
2016,165.0M,232.6M,676.4M,50.5M,Action
2016,180.0M,234.0M,811.7M,30.1M,Adventure
2016,200.0M,533.5M,"1,055.1M",155.1M,Adventure
2016,150.0M,45.2M,334.5M,13.4M,Action
2017,185.0M,168.1M,561.1M,20.5M,Adventure
2017,160.0M,504.0M,"1,270.0M",102.7M,Musical
2017,250.0M,225.8M,"1,236.7M",153.4M,Action
2017,200.0M,389.8M,869.1M,146.5M,Action
2017,175.0M,39.2M,139.6M,35.5M,Adventure
2017,230.0M,172.6M,794.9M,33.5M,Adventure
2017,150.0M,412.6M,818.1M,56.6M,Action
2017,195.0M,80.1M,410.0M,14.3M,Adventure
2017,175.0M,152.9M,383.5M,38.9M,Adventure
2017,217.0M,130.2M,602.9M,24.9M,Action
2017,175.0M,334.2M,878.3M,56.2M,Action
2017,152.0M,146.9M,489.6M,40.3M,Action
